name,county,coordinates,esti. pop.
West Dublin/Pleasanton BART Station,Contra Costa,"(37.699709, -121.928243)",428
Montgomery St BART Station,San Francisco,"(37.788862, -122.402116)",1812
San Antonio BART Station,Alameda,"(37.788309, -122.245649)",1489
Fremont BART Station,Alameda,"(37.557451, -121.976611)",1813
Santana Row BART Station,Santa Clara,"(37.323154, -121.948811)",965
Lafayette BART Station,Contra Costa,"(37.893161, -122.124925)",891
Lake Merritt BART Station,Alameda,"(37.797306, -122.265111)",1771
Oak Grove BART Station,Contra Costa,"(37.943057, -122.029329)",2855
South Hayward BART Station,Alameda,"(37.634403, -122.057018)",1288
Milpitas BART Station,Santa Clara,"(37.409866, -121.890983)",1662
Balboa Park BART Station,San Francisco,"(37.721617, -122.447442)",2610
Dublin/Pleasanton BART Station,Contra Costa,"(37.701666, -121.899183)",275
Samtrans Bus Stop Colma BART Station,San Francisco,"(37.684622, -122.466156)",603
Union City BART Station,Alameda,"(37.590631, -122.017373)",817
Fruitvale BART Station,Alameda,"(37.775393, -122.223882)",2659
San Bruno BART Station,San Mateo,"(37.637687, -122.416275)",2024
Glen Park BART Station,San Francisco,"(37.733119, -122.433797)",613
Hayward BART Station,Alameda,"(37.669748, -122.087035)",1391
