name,county,coordinates,esti. pop.,nearest node one,nearest node 2,nearest node 3,distance 1,distance 2,distance 3
Fr Dental Laboratory,San Mateo,"(37.485814, -122.238715)",2651,"(37.478609, -122.291883)","(37.444031, -122.161216)","(37.491431, -122.228803)",5629.15538222503,7902.1358544515415,1246.20950334946
Pacifica Spindrift Players,San Mateo,"(37.592423, -122.489007)",306,"(37.459552, -122.429672)","(37.462736, -122.429145)","(37.633669, -122.397713)",21589.095445015417,21269.789076903635,15705.57337174754
Pulgas Ridge Open Space Preserve,San Mateo,"(37.478609, -122.291883)",1745,"(37.485814, -122.238715)","(37.513253, -122.33258)","(37.491431, -122.228803)",5606.49938222503,8101.156342041771,6747.760636868368
GoPro,San Mateo,"(37.534532, -122.331311)",494,"(37.513253, -122.33258)","(37.535644, -122.334809)","(37.545193, -122.306168)",4426.607702464451,2830.9154944478664,5630.481052128238
Forensic Laboratory of San Mateo Co. Sheriff's Office,San Mateo,"(37.513253, -122.33258)",2878,"(37.534532, -122.331311)","(37.535644, -122.334809)","(37.545193, -122.306168)",4426.607702464451,3428.965860549619,5643.7344182299885
Raul Castillo Martial Arts,San Mateo,"(37.459552, -122.429672)",1263,"(37.534532, -122.331311)","(37.513253, -122.33258)","(37.535644, -122.334809)",19349.513763573137,15095.695129674887,18113.669921658304
Bloom Skincare,San Mateo,"(37.379721, -122.11676)",2276,"(37.411139, -122.12431)","(37.423319, -122.097154)","(37.444031, -122.161216)",10.495742806963278,168.18913838896188,6394.392144658149
Urban Sanctuary,San Mateo,"(37.462736, -122.429145)",2829,"(37.534532, -122.331311)","(37.513253, -122.33258)","(37.535644, -122.334809)",19030.20739546135,14776.388761563101,17794.363553546522
Intelligent Learning Preschool,San Mateo,"(37.57445, -122.323249)",1791,"(37.570215, -122.340825)","(37.545193, -122.306168)","(37.570834, -122.264052)",2014.275218811017,4622.516931409513,7187.87048726927
Tesla Motors Palo Alto,San Mateo,"(37.411139, -122.12431)",452,"(37.379721, -122.11676)","(37.423319, -122.097154)","(37.444031, -122.161216)",10.495742806963278,178.68488119592516,6383.896401851185
Park School,San Mateo,"(37.570215, -122.340825)",2273,"(37.57445, -122.323249)","(37.535644, -122.334809)","(37.545193, -122.306168)",2011.8792188110174,6974.28849761491,4384.853142643666
United Airlines San Francisco Maintenance Center,San Mateo,"(37.633669, -122.397713)",1778,"(37.57445, -122.323249)","(37.570215, -122.340825)","(37.545193, -122.306168)",11097.83256958654,10137.950537183397,14131.602493419177
Stanford Law School William H. Neukom Building,San Mateo,"(37.423523, -122.168217)",2322,"(37.444031, -122.161216)","(37.441415, -122.178956)","(37.491431, -122.228803)",3505.2348397464866,501.21022290263534,8390.62618221629
The Intel Experience at Best Buy Mountain View,San Mateo,"(37.423319, -122.097154)",2455,"(37.379721, -122.11676)","(37.411139, -122.12431)","(37.444031, -122.161216)",168.18913838896188,178.68488119592516,6362.962472317544
Digital Onus,San Mateo,"(37.444031, -122.161216)",2806,"(37.423523, -122.168217)","(37.423319, -122.097154)","(37.441415, -122.178956)",3744.9698397464867,6342.350472317544,3708.026438368801
College of San Mateo,San Mateo,"(37.535644, -122.334809)",1772,"(37.534532, -122.331311)","(37.513253, -122.33258)","(37.545193, -122.306168)",2643.6154944478662,3442.3968605496193,4305.799210213406
Royal Bloom,San Mateo,"(37.441415, -122.178956)",590,"(37.423523, -122.168217)","(37.444031, -122.161216)","(37.491431, -122.228803)",501.21022290263534,3457.2514383688003,8364.859780838606
Course Hero,San Mateo,"(37.491431, -122.228803)",182,"(37.485814, -122.238715)","(37.478609, -122.291883)","(37.444031, -122.161216)",1246.2095033494602,6770.416636868367,7961.453802666763
Studio 2325,San Mateo,"(37.545193, -122.306168)",317,"(37.57445, -122.323249)","(37.570215, -122.340825)","(37.535644, -122.334809)",4619.481931409511,4386.454142643666,4277.6462102134055
Lakeview Montessori,San Mateo,"(37.570834, -122.264052)",2915,"(37.57445, -122.323249)","(37.570215, -122.340825)","(37.545193, -122.306168)",7010.225487269272,8912.8828890673,5996.5496016657935
Hospital Systems,Contra Costa,"(38.011075, -121.878951)",807,"(38.007423, -121.887473)","(38.011932, -121.887429)","(38.010334, -121.868388)",1206.1134604069312,938.1603080268768,1297.6888356344348
Newhall Community Park,Contra Costa,"(37.953737, -121.977269)",2826,"(37.937928, -121.926693)","(38.003274, -122.040742)","(38.003099, -122.02446)",5579.691953048776,10233.860626094352,8769.603921157846
Black Diamond Mines Regional Preserve,Contra Costa,"(37.971829, -121.862055)",244,"(38.003053, -121.872462)","(38.011178, -121.838953)","(38.000261, -121.836347)",6546.185943682241,5893.890951544791,4580.828124839266
Goodwill,Contra Costa,"(38.007423, -121.887473)",2075,"(38.011075, -121.878951)","(38.011932, -121.887429)","(38.008811, -121.890863)",1199.9074604069308,540.4541901379116,421.62129191308503
DVC Parking Lot,Contra Costa,"(37.968988, -122.070569)",2149,"(37.906749, -122.066082)","(38.003274, -122.040742)","(38.003099, -122.02446)",8327.732445934533,5653.472050256451,6619.44134531995
Flyers Energy,Contra Costa,"(38.000616, -121.806306)",348,"(38.011178, -121.838953)","(37.986921, -121.781712)","(38.000261, -121.836347)",4052.8767359554586,3137.4509027108043,3232.995909249934
Godiva,Contra Costa,"(37.937928, -121.926693)",142,"(37.953737, -121.977269)","(38.008811, -121.890863)","(38.003099, -122.02446)",5619.258953048775,12700.712220304513,12958.8874302822
Honeybudd Urban Apothecary,Contra Costa,"(38.003053, -121.872462)",920,"(38.011075, -121.878951)","(38.007423, -121.887473)","(38.010334, -121.868388)",1497.3288455991535,1699.6461618480585,960.4081102745463
Pittsburg City Park,Contra Costa,"(38.022376, -121.889293)",2244,"(38.011075, -121.878951)","(38.007423, -121.887473)","(38.011932, -121.887429)",2562.189492085203,2412.413377864664,2171.3132254846105
Farmers Insurance - Iztaccuauhtli Gonzalez,Contra Costa,"(38.011932, -121.887429)",2674,"(38.011075, -121.878951)","(38.007423, -121.887473)","(38.008811, -121.890863)",963.3673080268768,518.7901901379115,806.5241395330308
American Ultrafil Water Systems,Contra Costa,"(38.011178, -121.838953)",2696,"(38.000616, -121.806306)","(38.010334, -121.868388)","(38.000261, -121.836347)",4005.837253317629,3769.7211593965358,2862.9281701977247
The Magic Entertainment of John Gardenier,Contra Costa,"(37.918884, -121.701923)",511,"(38.000616, -121.806306)","(37.986921, -121.781712)","(38.000261, -121.836347)",16169.9475343735,13339.940927352298,18305.7974512536
Smile Hero Orthodontics,Contra Costa,"(37.986921, -121.781712)",1258,"(38.000616, -121.806306)","(38.011178, -121.838953)","(38.000261, -121.836347)",3111.471902710803,7124.982646296424,5954.6888195909
Integrated Wealth Counsel,Contra Costa,"(37.906749, -122.066082)",1226,"(37.953737, -121.977269)","(37.968988, -122.070569)","(38.003099, -122.02446)",10625.669761526615,8092.553127617687,11955.135238760038
Check Into Cash,Contra Costa,"(38.010334, -121.868388)",312,"(38.011075, -121.878951)","(38.003053, -121.872462)","(38.011932, -121.887429)",1268.9348356344349,1086.0865407439894,1889.051569033843
Goodview Chinese Restaurant,Contra Costa,"(38.008811, -121.890863)",1153,"(38.011075, -121.878951)","(38.007423, -121.887473)","(38.011932, -121.887429)",1487.6414098020502,421.62129191308503,828.188139533031
Dougherty Valley Performing Arts Center,Contra Costa,"(37.769399, -121.901485)",675,"(37.953737, -121.977269)","(37.968988, -122.070569)","(37.906749, -122.066082)",33293.59234216146,31858.99370825254,23965.273920009466
Applied Thermal Tempering,Contra Costa,"(38.000261, -121.836347)",2426,"(38.000616, -121.806306)","(38.003053, -121.872462)","(38.011178, -121.838953)",3576.533843768685,4047.216579491756,2567.958587354305
Ion Solar,Contra Costa,"(38.003274, -122.040742)",955,"(37.953737, -121.977269)","(37.968988, -122.070569)","(38.003099, -122.02446)",10309.469626094347,5729.407190942236,3557.926302084592
North Concord-Martinez Station,Contra Costa,"(38.003099, -122.02446)",592,"(37.953737, -121.977269)","(37.968988, -122.070569)","(38.003274, -122.040742)",8872.802921157847,6800.354486005737,3510.1363020845924
